Author,year,Number,meanIF,medianIF,sdIF
Shui-Guanghou,2015,4,5.5085,5.727,2.2545125859041
Shui-Guanghou,2016,7,5.859,4.706,4.0061584674931
Shui-Guanghou,2017,1,3.981,3.981,NA
Speakman-John R,2012,3,15.983,16.735,9.74279061665599
Speakman-John R,2013,25,3.93276,2.914,2.74919282517615
Speakman-John R,2014,11,6.58681818181818,3.981,9.41249453458733
Speakman-John R,2015,20,5.14945,3.3255,7.04221894213375
Speakman-John R,2016,16,5.2890625,5.0805,3.35504375468239
Speakman-John R,2017,3,5.019,5.008,1.67852703284755
Tang-Ding,2010,6,5.35133333333333,4.4735,1.85607226870795
Tang-Ding,2011,7,6.876,6.09,3.6671191690481
Tang-Ding,2012,8,6.0325,6.0645,2.02717396533062
Tang-Ding,2013,4,6.56575,6.711,1.77233600557757
Tang-Ding,2014,2,5.6525,5.6525,1.42623437765327
Tang-Ding,2015,2,4.367,4.367,1.85261976670875
Tang-Ding,2016,7,6.492,6.28,1.63814203698377
Tang-Dingzhong,2011,3,4.53133333333333,4.145,0.815311188033952
Tang-Dingzhong,2012,4,6.581,5.874,1.72760605077276
Tang-Dingzhong,2013,6,10.4823333333333,6.2025,13.8822876020729
Tang-Dingzhong,2014,2,5.264,5.264,1.97565634663521
Tang-Dingzhong,2015,3,6.27666666666667,6.661,2.47597381515503
Tang-Dingzhong,2016,3,5.86133333333333,4.495,2.82341678349714
Tian-Zhixi,2011,1,3.67,3.67,NA
Tian-Zhixi,2013,2,4.7245,4.7245,1.0514677836244
Tian-Zhixi,2014,3,4.816,5.468,4.08719121157795
Tian-Zhixi,2015,4,17.054,8.9805,17.3980232785222
Tian-Zhixi,2016,5,6.3846,5.468,2.84628675646007
Tong-Yiping,2010,2,3.324,3.324,0.929138310479124
Tong-Yiping,2011,2,1.131,1.131,0.878226622233692
Tong-Yiping,2012,2,5.211,5.211,4.38830468404371
Tong-Yiping,2013,4,13.288,5.9785,16.6256352861076
Tong-Yiping,2014,4,3.63325,3.4785,1.4254724070754
Tong-Yiping,2015,2,4.194,4.194,2.95004949111028
Tong-Yiping,2016,1,3.9,3.9,NA
Wang-Bin,2010,5,9.6928,3.777,13.978146880041
Wang-Bin,2011,1,6.637,6.637,NA
Wang-Bin,2012,1,2.372,2.372,NA
Wang-Bin,2013,3,2.846,2.319,0.912790775588798
Wang-Bin,2014,1,8.387,8.387,NA
Wang-Bin,2015,4,6.14775,7.293,3.06593535211252
Wang-Bin,2016,4,4.93175,5.228,1.17168948531597
Wang-Bin,2017,1,5.228,5.228,NA
Wang-Daowen,2010,5,3.3914,3.057,1.71251344520269
Wang-Daowen,2011,4,4.662,5.09,2.66321159504835
Wang-Daowen,2012,4,2.711,2.8395,0.451280400638007
Wang-Daowen,2013,5,9.5792,3.057,15.9780719957071
Wang-Daowen,2014,5,2.7012,2.333,0.775090123792066
Wang-Daowen,2015,6,3.84283333333333,3.886,1.85027624063724
Wang-Daowen,2016,3,5.308,5.228,0.13856406460551
Wang-Guodong,2010,1,6.28,6.28,NA
Wang-Guodong,2011,2,6.4705,6.4705,0.269407683632074
Wang-Guodong,2012,3,5.23966666666667,3.239,3.62401563646369
Wang-Guodong,2013,4,6.47775,6.4095,1.5404692737388
Wang-Guodong,2015,5,7.5104,7.142,1.42854446903133
Wang-Guodong,2016,4,6.508,6.711,0.803636733854296
Wang-Jing,2010,1,31.616,31.616,NA
Wang-Jing,2012,1,1.618,1.618,NA
Wang-Jing,2013,5,5.0554,3.67,3.19300521452753
Wang-Jing,2014,1,3.057,3.057,NA
Wang-Jing,2015,4,5.65725,5.1305,2.11809511511326
Wang-Jing,2016,6,6.15816666666667,6.661,3.18940718107091
Wang-Jun,2010,2,10.0095,10.0095,1.89716749392351
Wang-Jun,2012,4,13.62125,6.645,16.5875968196119
Wang-Jun,2013,6,13.1401666666667,9.423,12.520206650318
Wang-Jun,2015,3,6.25266666666667,5.468,2.85990565112441
Wang-Jun,2016,1,7.142,7.142,NA
Wang-Kejian,2010,2,6.4205,6.4205,2.99459721832503
Wang-Kejian,2011,4,8.1625,6.185,4.44654333911935
Wang-Kejian,2012,6,6.28316666666667,6.339,2.16547772250528
Wang-Kejian,2013,3,5.90833333333333,6.28,1.45553506770992
Wang-Kejian,2014,1,6.661,6.661,NA
Wang-Wei,2010,2,2.714,2.714,0.485075251893972
Wang-Wei,2011,1,4.258,4.258,NA
Wang-Wei,2012,1,3.057,3.057,NA
Wang-Wei,2013,2,3.998,3.998,2.37446457122443
Wang-Wei,2014,5,8.0122,6.28,5.30153644710663
Wang-Wei,2015,6,11.6916666666667,7.2985,10.3381496345655
Wang-Wei,2016,2,6.2595,6.2595,3.2222856018671
Wang-Xiu-Jie,2010,4,3.28675,3.924,1.50614217456388
Wang-Xiu-Jie,2011,6,8.0445,5.5725,5.30607217252084
Wang-Xiu-Jie,2012,10,11.3923,9.3125,10.0766705485713
Wang-Xiu-Jie,2013,11,8.55463636363636,8.538,4.32843547422685
Wang-Xiu-Jie,2014,5,9.472,5.766,8.95067625936722
Wang-Xiu-Jie,2015,5,10.1064,8.282,7.16646110712952
Wang-Xiu-Jie,2016,7,11.845,7.739,8.39126690871726
Wang-Xiu-Jie,2017,2,7.105,7.105,2.96560584029638
Wang-Yingchun,2010,1,3.057,3.057,NA
Wang-Yingchun,2011,2,3.568,3.568,0.722663130372651
Wang-Yingchun,2012,1,8.556,8.556,NA
Wang-Yingchun,2013,2,6.661,6.661,0
Wang-Yingchun,2014,4,9.9615,9.232,6.09946907525565
Wang-Yingchun,2015,9,5.52144444444444,5.228,0.894738385103589
Wang-Yingchun,2016,12,8.353,7.6645,4.68060903185589
Wang-Yingchun,2017,4,6.62275,6.6005,1.40806755874851
Wang-Yonghong,2010,4,12.845,9.3965,13.8537829009504
Wang-Yonghong,2012,1,11.329,11.329,NA
Wang-Yonghong,2013,4,17.1575,11.675,14.3792532374483
Wang-Yonghong,2014,2,9.423,9.423,0
Wang-Yonghong,2015,7,12.4074285714286,9.423,9.58957586578855
Wang-Yonghong,2016,1,8.668,8.668,NA
Wenk-Markus R,2011,2,6.661,6.661,0
Wenk-Markus R,2013,4,5.54075,4.5395,2.66852598201079
Wenk-Markus R,2014,11,4.80609090909091,4.368,2.2058261696945
Wenk-Markus R,2015,3,6.44133333333333,6.661,1.55021686654911
Wenk-Markus R,2016,1,5.228,5.228,NA
Wu-Yaorong,2010,1,3.905,3.905,NA
Wu-Yaorong,2011,2,9.3585,9.3585,7.71241366240167
Wu-Yaorong,2012,2,8.9805,8.9805,0.625789501350094
Wu-Yaorong,2013,1,6.661,6.661,NA
Wu-Yaorong,2014,1,3.981,3.981,NA
Wu-Yaorong,2015,4,8.01175,7.84,2.29784542198411
Wu-Yaorong,2016,6,5.6855,6.3385,2.09905099985684
Xiao-Zhifeng,2010,12,4.45691666666667,3.879,2.37303233163177
Xiao-Zhifeng,2011,7,7.26057142857143,8.387,2.12500147899108
Xiao-Zhifeng,2012,5,5.7922,5.902,2.68914553343623
Xiao-Zhifeng,2013,6,8.387,8.387,0
Xiao-Zhifeng,2014,9,5.32766666666667,4.71,2.53606166131662
Xiao-Zhifeng,2015,5,5.559,7.145,2.97180584830167
